X,Y,OBJECTID,PLOT,AGB_Mg_ha,type,size,year
-76.96397834,3.896282948,1,1,16.53,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.9870707,3.938459758,2,2,16.83,squared 50x50 center of the plot,0.25,2017
-76.98613518,3.939403816,3,3,19.34,squared 1ha center of the plot,1,2017
-76.97478178,3.930970618,4,4,22.25,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.0001517,3.934246705,5,5,22.44,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.03123158,3.974103354,6,6,26.36,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.01966771,3.972000662,7,7,27.34,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.98523306,3.938614845,8,8,29.05,squared 25x25 center of the plot,0.25,2017
-76.95724296,3.903305947,9,9,29.25,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.00093133,3.962197769,10,10,30.29,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.97259826,3.95714244,11,11,32.85,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.97652369,3.947015174,12,12,37.11,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.97807188,3.949078109,13,13,43.88,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.96192809,3.933971845,14,14,44.12,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.00053039,3.935752692,15,15,45.37,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.02698539,3.966654807,16,16,45.46,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.9587263,3.928242276,17,17,45.48,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.00431859,3.966871683,19,19,46.99,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.01017044,3.935767095,20,20,47.13,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.0453011,3.975311657,21,21,51.58,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.97067596,3.957212954,22,22,53.7,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.98218122,3.995884851,23,23,55.59,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.9948037,3.956637064,24,24,64.65,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.00016402,3.950607282,25,25,64.67,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.00071124,3.964264904,26,26,69.48,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.01597521,3.963027615,27,27,75.67,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.98462921,3.99677553,28,28,79.76,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.04425479,3.968226653,29,29,80.14,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.99100953,3.954310509,30,30,86.93,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.0844076,4.028065107,31,31,87.39,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.0009161,3.928970724,32,32,88.72,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.06616402,4.044583385,33,33,94.55,squared 50x50 center of the plot,0.25,2017
-76.95257489,3.935285533,34,34,105.72,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.95097664,3.934702656,35,35,107.61,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.95148082,4.003358786,36,36,117.61,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.05519353,4.061064119,37,37,119.48,squared 50x50 center of the plot,0.25,2017
-77.08723127,4.027885645,38,38,119.79,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.04105259,3.971329033,39,39,122.76,rectangular 25x100m coordinate at 12.5,0.25,2017
-76.94802441,4.003463911,40,40,123.55,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.00381606,3.971813363,41,41,126.66,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.06215622,4.055169657,42,42,129.56,squared 50x50 center of the plot,0.25,2017
-77.08791854,4.029143323,43,43,144.13,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.06752777,4.043176592,44,44,155.67,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.05772972,4.073229068,45,45,156.72,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.05946872,4.053082787,46,46,160.9,squared 50x50 center of the plot,0.25,2017
-77.04826045,4.078711919,47,47,161.56,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.08470434,4.026745881,48,48,168.38,squared 50x50 center of the plot,0.25,2017
-77.06035327,4.054270162,49,49,213.99,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.08874886,4.02949975,0,43,144.13,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.08759064,4.02774193,0,38,119.79,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.08684568,4.027983503,0,38,119.79,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.08493269,4.028022994,0,31,87.39,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.0840391,4.028111736,0,31,87.39,rectangular 25x100m coordinate at 12.5,0.25,2017
-77.06775227,4.042949993,0,44,155.67,rectangular 25x100m coordinate at 12.5,0.25,2017
