GEZ,ZONE,FAO.ecozone,GR1,GR2,GR3
Tropical,Africa,Tropical dry forest,0.00,1.60,3.90
Tropical,Africa,Tropical moist deciduous forest,0.60,2.70,5.20
Tropical,Africa,Tropical moist forest,0.40,0.90,2.90
Tropical,Africa,Tropical mountain system,0.50,1.80,5.50
Tropical,Africa,Tropical rainforest,1.30,3.50,7.60
Tropical,Africa,Tropical shrubland,0.90,0.90,0.45
Tropical,Asia,Tropical dry forest,0.00,1.60,3.90
Tropical,Asia,Tropical moist deciduous forest,0.60,2.70,5.20
Tropical,Asia,Tropical moist forest,0.40,0.90,2.40
Tropical,Asia,Tropical mountain system,0.00,1.10,2.90
Tropical,Asia,Tropical rainforest,0.70,2.70,3.40
Subtropical,Asia,Subtropical mountain system,0.00,0.50,2.50
NA,Asia,NA,0.50,2.40,3.70
Tropical,Australia,Tropical dry forest,0.00,1.60,3.90
Tropical,Australia,Tropical rainforest,1.00,2.30,5.90
Temperate,Australia,Temperate mountain system,0.00,4.40,3.10
Subtropical,Australia,Subtropical dry forest,1.00,1.00,4.00
Subtropical,Australia,Subtropical humid forest,0.00,1.00,2.50
Subtropical,Australia,Subtropical steppe,1.00,1.00,4.00
Subtropical,Australia,Subtropical desert,0.00,0.60,0.90
Temperate,Australia,Temperate oceanic forest,0.37,2.12,3.12
NA,Australia,Tropical desert,0.00,0.60,0.90
NA,Australia,Subtropical desert,0.00,0.60,0.90
NA,Australia,NA,0.00,0.60,0.90
Tropical,Australia,Tropical shrubland,1.00,1.00,4.00
Tropical,C.America,Tropical dry forest,0.00,1.60,3.90
Tropical,C.America,Tropical moist forest,0.40,2.70,5.20
Tropical,C.America,Tropical mountain system,0.50,1.80,4.40
Tropical,C.America,Tropical rainforest,1.00,2.30,5.90
Subtropical,C.America,Subtropical mountain system,0.00,0.50,2.50
Subtropical,C.America,Subtropical steppe,1.00,1.00,4.00
NA,C.America,NA,0.67,1.77,2.92
Temperate,Europe,Temperate continental forest,0.00,3.60,3.30
Boreal,Europe,Boreal coniferous forest,1.10,1.10,1.10
Boreal,Europe,Boreal mountain system,1.30,1.30,1.35
NA,Europe,NA,1.00,1.00,1.00
Subtropical,Europe,Subtropical dry forest,1.00,1.00,4.00
Subtropical,Europe,Subtropical mountain system,0.00,0.50,2.50
Temperate,Europe,Temperate mountain system,0.00,4.40,3.10
Temperate,Europe,Temperate oceanic forest,2.30,2.30,2.30
Temperate,N.America,Temperate continental forest,0.00,3.60,3.30
Temperate,N.America,Temperate mountain system,0.00,4.40,3.10
Boreal,N.America,Boreal mountain system,1.30,1.30,1.35
Boreal,N.America,Boreal tundra woodland,0.40,0.40,0.40
NA,N.America,Polar,0.67,1.77,2.92
NA,N.America,NA,0.67,1.77,2.92
Tropical,S.America,Tropical dry forest,0.00,1.60,3.90
Tropical,S.America,Tropical moist deciduous forest,0.60,2.70,5.20
Tropical,S.America,Tropical moist forest,0.40,2.70,5.20
Tropical,S.America,Tropical mountain system,0.50,1.80,4.40
Tropical,S.America,Tropical rainforest,1.00,2.30,5.90
Subtropical,S.America,Subtropical dry forest,1.00,1.00,4.00
,,,,,
,, ,,,
