GEZ,ZONE,FAO.ecozone,GR1,GR2,GR3,SD1,SD2,SD3,,,,,
boreal,Europe,Boreal coniferous forest,1.1,1.1,1.1,0,0,0,,,,,
boreal,Europe,Boreal mountain system,1,1.2,1.35,0,0,0,,,,,
boreal,N.America,Boreal mountain system,1,1.2,1.35,0,0,0,,,,,
boreal,N.America,Boreal tundra woodland,0.4,0.4,0.4,0.3,0.3,0.3,,,,,
NA,Asia,NA,0.5,2.4,3.7,0.375,1.8,2.775,,,,,
NA,Australia,NA,0,0.6,0.9,0,0.45,0.675,,,,,
NA,C.America,NA,0.67,1.77,2.92,0.5025,1.3275,2.19,,,,,
NA,Europe,NA,1,1,1,0.75,0.75,0.75,,,,,
NA,N.America,NA,0.67,1.77,2.92,0.5025,1.3275,2.19,,,,,
NA,N.America,Polar,0.67,1.77,2.92,0.5025,1.3275,2.19,,,,,
NA,Australia,Subtropical desert,0,0.6,0.9,0,0.45,0.675,,,,,
subtropical,Australia,Subtropical dry forest,1,1,4,0.75,0.75,3,,,,,
subtropical,Europe,Subtropical dry forest,1.8,1.8,2.4,1.35,1.35,1.8,,,,,
subtropical,Australia,Subtropical humid forest,0,1,2.5,0,0.75,1.875,,,,,
subtropical,C.America,Subtropical mountain system,0,0.5,2.5,0,0.375,1.875,,,,,
subtropical,Europe,Subtropical mountain system,0,0.5,2.5,0,0.375,1.875,,,,,
subtropical,Australia,Subtropical steppe,1,1,2,0.75,0.75,1.5,, ,,,
subtropical,C.America,Subtropical steppe,1,1,2,0.75,0.75,1.5,,,,,
temperate,Europe,Temperate continental forest,0,3.6,3.3,0,2.7,2.475,,,,,
temperate,N.America,Temperate continental forest,0,3.6,3.3,0,2.7,2.475,,,,,
temperate,Australia,Temperate mountain system,0.37,2.12,3.12,0.2775,1.59,3.6,,,,,
temperate,Europe,Temperate mountain system,0,4.4,3.1,0,3.3,3.6,,,,,
temperate,N.America,Temperate mountain system,0,4.4,3.1,0,3.3,3.6,,,,,
temperate,Australia,Temperate oceanic forest,0.37,2.12,3.12,0.3145,1.7384,0.83,,, ,,
temperate,Europe,Temperate oceanic forest,0,9.2,6.3,0,6.9,3.6,,,,, 
NA,Australia,Tropical desert,0,0.6,0.9,0,0.45,0.675,,,,,
tropical,Africa,Tropical dry forest,1.6,1.6,3.9,1.2,1.2,2.925,,,,,
tropical,Asia,Tropical dry forest,1,1.6,3.9,0.75,1.2,2.925,,,,,
tropical,Australia,Tropical dry forest,0,1.6,3.9,0,1.2,2.925,,,,,
tropical,C.America,Tropical dry forest,0.6,1.6,3.9,0.45,1.2,2.925,,,,,
tropical,S.America,Tropical dry forest,0,1.6,3.9,0,1.1,2.4,,,,,
tropical,Africa,Tropical moist forest,0.6,0.9,2.9,0.45,0.7,1,,,,,
tropical,Asia,Tropical moist forest,0.6,0.9,2.4,0.45,0.675,0.3,,,,,
tropical,C.America,Tropical moist forest,0,2.7,5.2,0,2.025,3.9,,,,,
tropical,S.America,Tropical moist forest,0.6,2.7,5.2,2.1,1.7,2.3,,,,,
tropical,Africa,Tropical mountain system,0.7,1.8,5.5,0.525,1.35,6.8, ,,,,
tropical,Asia,Tropical mountain system,0,1.1,2.9,0,0.4,0.1, ,,,,
tropical,C.America,Tropical mountain system,0.8,1.8,4.4,0.6,1.35,3.3,,,,,
tropical,S.America,Tropical mountain system,0.8,1.8,4.4,1.5,0.6,1.6,,,,,
tropical,Africa,Tropical rainforest,1.6,5.8,10.7,2.9,5,5.6,,,,,
tropical,Asia,Tropical rainforest,0.5,2.7,3.4,1.6,3.1,3.9,,,,,
tropical,Australia,Tropical rainforest,0.8,2.3,5.9,0.6,1.725,4.425,,,,,
tropical,C.America,Tropical rainforest,0.7,2.3,5.9,0.525,1.725,4.425,,,,,
tropical,S.America,Tropical rainforest,0.7,2.3,5.9,1.5,1.1,2.5,,,,,
tropical,Africa,Tropical shrubland,0.9,0.9,0.45,0.675,0.675,0.3375,,,,,
tropical,Australia,Tropical shrubland,1,1,4,0.75,0.75,3,,,,,
