PLOT_ID,AVG_YEAR,AGB_T_HA
NOU01,2010, 431.90 
NOU02,2010, 368.41 
NOU03,2010, 525.65 
NOU04,2010, 429.87 
NOU05,2010, 234.60 
NOU06,2010, 288.10 
NOU07,2010, 302.60 
NOU08,2010, 510.20 
NOU09,2010, 462.08 
NOU10,2010, 379.38 
NOU11,2010, 199.80 
PAR01,2009, 361.07 
PAR02,2009, 332.71 
PAR03,2009, 303.48 
PAR04,2009, 281.55 
PAR05,2009, 292.08 
PAR06,2009, 407.26 
PAR07,2009, 382.58 
PAR08,2009, 254.09 
PAR09,2009, 331.04 
PAR10,2009, 299.91 
PAR11,2009, 387.26 
PAR12,2009, 299.95 
PAR13,2009, 387.52 
PAR14,2009, 393.82 
PAR15,2009, 403.97 
PAR16,2009, 407.76 
PAR17,2009, 131.39 
