id,POINT_X,POINT_Y,
NOU01,312514.2862,449724.252,
NOU01,312517.6017,449824.1971,
NOU02,313704.3114,451320.5058,
NOU02,313752.1806,451408.3041,
NOU02,313800.0498,451496.1024,
NOU02,313847.919,451583.9007,
NOU02,313895.7882,451671.699,
NOU02,313943.6574,451759.4973,
NOU02,313991.5265,451847.2956,
NOU02,314039.3957,451935.0939,
NOU02,314087.2649,452022.8922,
NOU02,314135.1341,452110.6905, 
NOU03,313129.3929,446508.6265,
NOU03,313130.6146,446608.6191,
NOU03,313131.8363,446708.6116,
NOU03,313229.3854,446507.4048,
NOU03,313230.6071,446607.3974,
NOU03,313231.8288,446707.3899,
NOU04,313216.7083,451258.6465,
NOU04,313128.5779,451305.9016,
NOU04,313040.4476,451353.1566,
NOU04,312952.3172,451400.4117,
NOU04,313263.9634,451346.7768,
NOU04,313175.833,451394.0319,
NOU04,313087.7027,451441.287,
NOU04,312999.5723,451488.5421,
NOU04,313311.2184,451434.9072,
NOU04,313223.0881,451482.1623,
NOU04,313134.9577,451529.4173,
NOU04,313046.8274,451576.6724,
NOU08,313652,447024,
NOU09,313832,447430,
NOU10,314144,446338,
PAR01,285155.6446,582887.6035,
PAR01,285130.2688,582984.3303,
PAR01,285252.3713,582912.9793,
PAR01,285226.9955,583009.7061,
PAR02,285095.6694,582560.4544,
PAR02,285070.2936,582657.1812,
PAR02,285192.3962,582585.8302,
PAR02,285167.0204,582682.557,
PAR03,285411.4612,582540.3839,
PAR03,285385.7479,582637.0215,
PAR03,285508.0988,582566.0972,
PAR03,285482.3855,582662.7348,
PAR04,285893.808,582842.4438,
PAR04,285867.4207,582938.8995,
PAR04,285990.2637,582868.8311,
PAR04,285963.8764,582965.2868,
PAR05,286181.6379,582920.5831,
PAR05,286153.7387,583016.6124,
PAR05,286277.6672,582948.4822,
PAR05,286249.7681,583044.5115,
PAR06,286472.3348,582964.1477,
PAR06,286448.1426,583061.1773,
PAR06,286569.3643,582988.3399,
PAR06,286545.1722,583085.3694,
PAR07,286049.2371,582504.0074,
PAR07,286022.5133,582600.3704,
PAR07,286145.6002,582530.7312,
PAR07,286118.8763,582627.0943,
PAR08,285974.2325,582058.491,
PAR08,285946.3334,582154.5204,
PAR08,286070.2619,582086.3901,
PAR08,286042.3628,582182.4195,
PAR09,286228.4995,581527.7823,
PAR09,286200.6004,581623.8117,
PAR09,286324.5289,581555.6814,
PAR09,286296.6298,581651.7108,
PAR10,286526.6867,581590.6277,
PAR10,286502.3252,581687.6149,
PAR10,286623.6739,581614.9892,
PAR10,286599.3124,581711.9764,
PAR11,286174.7657,581205.3229,
PAR11,286147.8737,581301.6391,
PAR11,286271.082,581232.2149,
PAR11,286244.19,581328.5311,
PAR12,286464.8656,581258.1292,
PAR12,286438.1418,581354.4923,
PAR12,286561.2286,581284.8531,
PAR12,286534.5048,581381.2161,
PAR13,285428.7745,583053.0501,
PAR13,285398.8705,583148.4741,
PAR13,285524.1986,583082.9541,
PAR13,285494.2945,583178.3782,
PAR14,285803.6184,583175.8909,
PAR14,285775.3843,583271.8223,
PAR14,285899.5498,583204.1251,
PAR14,285871.3157,583300.0565,
PAR15,286354.2927,583538.1408,
PAR15,286325.3895,583633.8727,
PAR15,286450.0246,583567.0439,
PAR15,286421.1214,583662.7759,
PAR16,285203.0951,581197.0996,
PAR16,285174.359,581292.8819,
PAR16,285145.623,581388.6641,
PAR16,285116.8869,581484.4464,
PAR16,285088.1509,581580.2286,
PAR16,285298.8774,581225.8357,
PAR16,285270.1413,581321.6179,
PAR16,285241.4052,581417.4002,
PAR16,285212.6692,581513.1824,
PAR16,285183.9331,581608.9647,
PAR16,285394.6596,581254.5717,
PAR16,285365.9235,581350.354,
PAR16,285337.1875,581446.1362,
PAR16,285308.4514,581541.9185,
PAR16,285279.7154,581637.7007,
PAR16,285490.4419,581283.3078,
PAR16,285461.7058,581379.09,
PAR16,285432.9697,581474.8723,
PAR16,285404.2337,581570.6545,
PAR16,285375.4976,581666.4368,
PAR16,285586.2241,581312.0438,
PAR16,285557.488,581407.8261,
PAR16,285528.752,581503.6083,
PAR16,285500.0159,581599.3906,
PAR16,285471.2799,581695.1728,
PAR17,272704.7146,586586.9282,
PAR17,272756.3679,586672.5549,
PAR17,272790.3413,586535.2748,
PAR17,272841.9946,586620.9015,
NOU01,312514.2862,449724.252,
NOU01,312515.9439,449774.2245,
NOU01,312517.6017,449824.1971,
NOU01,312519.2595,449874.1696,
NOU01,312564.2587,449722.5943,
NOU01,312565.9164,449772.5668,
NOU01,312567.5742,449822.5393,
NOU01,312569.232,449872.5118,
NOU02,313704.3114,451320.5058,
NOU02,313660.4123,451344.4404,
NOU02,313728.246,451364.405,
NOU02,313684.3469,451388.3396,
NOU02,313752.1806,451408.3041,
NOU02,313708.2815,451432.2387,
NOU02,313776.1152,451452.2033,
NOU02,313732.2161,451476.1379,
NOU02,313800.0498,451496.1024,
NOU02,313756.1506,451520.037,
NOU02,313823.9844,451540.0016,
NOU02,313780.0852,451563.9362,
NOU02,313847.919,451583.9007,
NOU02,313804.0198,451607.8353,
NOU02,313871.8536,451627.7999,
NOU02,313827.9544,451651.7345,
NOU02,313895.7882,451671.699,
NOU02,313851.889,451695.6336,
NOU02,313919.7228,451715.5982,
NOU02,313875.8236,451739.5328,
NOU02,313943.6574,451759.4973,
NOU02,313899.7582,451783.4319,
NOU02,313967.5919,451803.3965,
NOU02,313923.6928,451827.3311,
NOU02,313991.5265,451847.2956,
NOU02,313947.6274,451871.2302,
NOU02,314015.4611,451891.1948,
NOU02,313971.562,451915.1294,
NOU02,314039.3957,451935.0939,
NOU02,313995.4966,451959.0285,
NOU02,314063.3303,451978.9931,
NOU02,314019.4312,452002.9277,
NOU02,314087.2649,452022.8922,
NOU02,314043.3658,452046.8268,
NOU02,314111.1995,452066.7914,
NOU02,314067.3004,452090.726,
NOU02,314135.1341,452110.6905,
NOU02,314091.235,452134.6251,
NOU02,314159.0687,452154.5897,
NOU02,314115.1695,452178.5242,
NOU03,313129.3929,446508.6265,
NOU03,313130.0037,446558.6228,
NOU03,313130.6146,446608.6191,
NOU03,313131.2254,446658.6153,
NOU03,313131.8363,446708.6116,
NOU03,313132.4471,446758.6079,
NOU03,313179.3891,446508.0157,
NOU03,313180,446558.012,
NOU03,313180.6108,446608.0082,
NOU03,313181.2217,446658.0045,
NOU03,313181.8325,446708.0008,
NOU03,313182.4434,446757.997,
NOU03,313229.3854,446507.4048,
NOU03,313229.9962,446557.4011,
NOU03,313230.6071,446607.3974,
NOU03,313231.2179,446657.3936,
NOU03,313231.8288,446707.3899,
NOU03,313232.4396,446757.3862,
NOU03,313279.3817,446506.794,
