PLOT_ID,POINT_X,POINT_Y,AGB_T_HA,AVG_YEAR,SIZE_HA
AFR7,24.53905556,0.992555556,407.6,2011.5,1
AFR7,24.52980556,0.806305555,291.2,2011.5,1
AFR7,24.52255556,0.827416667,366,2011.5,1
AFR10,12.749,6.2112,24.9,2007,1
AUS1,145.6274272,-37.5924562,699.46,2014,1
AUS1,115.9828799,-34.57759767,595.41,2012,1
AUS1,152.6199671,-31.59163287,709.76,2013,1
AUS1,146.6096147,-42.81116623,1265.77,2013,1
AUS1,130.794355,-13.179121,47.2,2013,1
AUS1,116.7854898,-34.82508502,519.76,2012,1
AFR14,34.17302567,-19.01431044,78.6,2009,0.84441
AUS1,152.9384572,-27.47722855,145.85,2009,0.8
AUS1,153.1287633,-27.53735375,121.84,2009,0.8
AFR14,34.1462993,-19.00704595,1.2,2009,0.763217
AFR14,34.15549676,-19.0095932,7.4,2009,0.60716
AFR14,34.20019965,-18.94106443,26.6,2009,0.571432
AFR14,34.18973749,-18.95123493,44,2009,0.57121
AFR14,34.19090001,-18.9501049,43.6,2009,0.57121
AFR1,19.54781,-3.44259,267.982,2008,0.5
AFR1,20.27561,-3.65278,295.367,2010,0.5
AFR1,19.26184,-3.29141,175.091,2007.5,0.5
AFR1,19.51886,-3.34709,275.628,2007,0.5
AFR1,19.66326,-3.16394,345.809,2009,0.5
AFR1,19.31503,-3.22976,251.619,2007,0.5
AFR1,19.88341,-3.6215,265.536,2010,0.5
AFR1,19.1444,-2.99695,193.925,2007.5,0.5
AFR1,19.88099,-2.63132,199.486,2007.5,0.5
AFR1,19.33339,-2.99425,199.888,2007,0.5
AFR1,19.14485,-3.09031,267.975,2007.5,0.5
AFR1,20.39318,-3.84585,237.108,2010,0.5
AFR1,19.22311,-3.19687,240.088,2007.5,0.5
AFR1,19.47344,-3.15849,143.778,2007,0.5
AFR1,19.61607,-2.72229,71.3455,2007.5,0.5
AFR1,19.8879,-3.43801,248.529,2010,0.5
AFR1,19.76159,-3.19205,245.227,2009,0.5
AFR1,18.84076,-3.03713,260.077,2007.5,0.5
AFR1,18.95729,-2.87187,170.94,2007.5,0.5
AFR1,19.59659,-2.89873,205.99,2007.5,0.5
AFR1,20.22553,-3.84542,403.331,2010,0.5
AFR1,19.05151,-2.95223,284.885,2007.5,0.5
AFR1,20.13996,-3.78075,244.076,2010,0.5
AFR1,19.47339,-3.14582,161.934,2007,0.5
AFR1,19.7784,-2.96916,285.98,2007.5,0.5
AFR1,19.77774,-3.33036,191.543,2009,0.5
AFR1,19.81239,-3.06267,333.967,2009,0.5
AFR1,20.22909,-3.84542,303.298,2010,0.5
AFR1,19.48489,-3.52653,288.619,2008,0.5
AFR1,19.80004,-2.9692,156.342,2007.5,0.5
AFR1,19.82168,-3.07915,377.984,2009,0.5
AFR1,19.81422,-3.06265,241.955,2009,0.5
AFR1,20.11686,-3.62189,293.024,2010,0.5
AFR1,19.11362,-3.05232,280.388,2007.5,0.5
AFR1,19.54736,-3.62502,281.43,2008,0.5
AFR1,19.62476,-3.6283,121.05,2008,0.5
AFR1,19.5124,-3.03495,169.38,2007,0.5
AFR1,19.79256,-3.10821,328.516,2009,0.5
AFR1,19.34041,-3.02849,224.098,2007,0.5
AFR1,19.95917,-3.19869,341.964,2009,0.5
AFR1,19.8879,-3.43983,368.401,2010,0.5
AFR1,19.86951,-2.85945,288.614,2007.5,0.5
AFR1,19.37152,-3.19707,306.511,2007,0.5
AFR1,19.50044,-3.72343,258.929,2008,0.5
AFR1,19.67965,-3.24883,59.8005,2009,0.5
AFR1,19.96466,-3.19869,351.824,2009,0.5
AFR1,19.85164,-3.06909,253.523,2009,0.5
AFR10,12.891,6.0035,46.3,2007,0.5
AFR1,19.70164,-3.31558,239.914,2009,0.5
AFR1,20.10169,-3.78075,44.5135,2010,0.5
AFR1,20.00664,-3.55809,185.028,2010,0.5
AFR1,19.9176,-3.25718,202.407,2009,0.5
AFR1,20.43779,-3.56911,387.073,2010,0.5
AFR1,19.8271,-3.06254,280.66,2009,0.5
AFR1,20.37585,-3.87786,303.859,2010,0.5
AFR1,19.88523,-3.6215,281.087,2010,0.5
AFR1,19.14447,-3.0579,273.288,2007.5,0.5
AFR1,19.7045,-3.20924,248.168,2009,0.5
