TREE_GUID *,TREE_TYPE,SPIS,STRY,TREE_ALIVE,DEAD_TREE_CAUSE,GROUP_TYPE,CONIFER_STEM_STRAIGHTNESS,LOWEST_DEAD_BRANCH_HEIGHT,POINT_GUID *,TREE_OR_STUMP,DECAY_CLASS,STUMP_DECAY_CLASS,COPPICE_STOOL,LINKED_TREE_GUID *,TREE_LOCATION,OBJECTID *,OUTSIDE_PLOT,HEIGHT,TREE_HEIGHT,UC_HEIGHT,LC_HEIGHT,SHAPE *,DBH,DIAMETER_ONE,DIAMETER_TWO,SPECIES_GROUP,EXCESSIVE_LEAN,WINDSNAPPED,COPPICE_STOOL_GUID *,CROWN_DIAMETER_ONE,CROWN_DIAMETER_TWO,RECORD_STATUS,FIELDS_STATUS,TIMBER_HEIGHT,TREE_RESURVEY,GOOD_FELLING_PRACTICE,COPPICE_STOOL_DIAMETER,RANGE_DBH,RANGE_HEIGHT,RANGE_CROWN_DIAMETER_1,RANGE_CROWN_DIAMETER_2,RANGE_DIAMETER_ONE,RANGE_STUMP_HEIGHT,STUMP_TYPE,RANGE_DIAMETER_TWO,SIZE_RANK,PERCENTAGE_HEIGHT_REM,STUMP_AGE,IS_STUMP_AGE
{90106646-EC43-4E04-B3DB-F4DBE0F37FD3},1,SS,4,1,<Null>,1,<Null>,<Null>,{197A519B-7AF1-4374-BDD8-81FA03CCC54F},1,<Null>,<Null>,<Null>,<Null>,<Null>,34,<Null>,<Null>,<Null>,<Null>,<Null>,Point,11,<Null>,<Null>,<Null>,0,0,<Null>,<Null>,<Null>,new,<Null>,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
{3B18375F-B224-420E-92D0-0D7A0AC51B4A},1,SS,4,1,<Null>,1,<Null>,<Null>,{197A519B-7AF1-4374-BDD8-81FA03CCC54F},1,<Null>,<Null>,<Null>,<Null>,<Null>,24,<Null>,<Null>,<Null>,<Null>,<Null>,Point,11,<Null>,<Null>,<Null>,0,0,<Null>,<Null>,<Null>,new,<Null>,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
{BCADC7ED-3C2B-41E1-9118-D3A74AAE8353},1,SS,4,1,<Null>,1,<Null>,<Null>,{197A519B-7AF1-4374-BDD8-81FA03CCC54F},1,<Null>,<Null>,<Null>,<Null>,<Null>,25,<Null>,<Null>,<Null>,<Null>,<Null>,Point,10,<Null>,<Null>,<Null>,0,0,<Null>,<Null>,<Null>,new,<Null>,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
{DE39854B-074C-4CAE-B32C-42AC66063D68},1,SS,4,1,<Null>,1,<Null>,<Null>,{197A519B-7AF1-4374-BDD8-81FA03CCC54F},1,<Null>,<Null>,<Null>,<Null>,<Null>,26,<Null>,<Null>,<Null>,<Null>,<Null>,Point,12,<Null>,<Null>,<Null>,0,0,<Null>,<Null>,<Null>,new,<Null>,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
{44B67C6E-1F42-4FBC-8DB3-73FC488AB30E},1,SS,4,1,<Null>,1,<Null>,<Null>,{197A519B-7AF1-4374-BDD8-81FA03CCC54F},1,<Null>,<Null>,<Null>,<Null>,<Null>,27,<Null>,<Null>,<Null>,<Null>,<Null>,Point,10,<Null>,<Null>,<Null>,0,0,<Null>,<Null>,<Null>,new,<Null>,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
{4CEC0CAD-BD3D-476B-87D4-C61579650A10},1,SS,4,1,<Null>,1,<Null>,<Null>,{197A519B-7AF1-4374-BDD8-81FA03CCC54F},1,<Null>,<Null>,<Null>,<Null>,<Null>,28,<Null>,<Null>,<Null>,<Null>,<Null>,Point,13,<Null>,<Null>,<Null>,0,0,<Null>,<Null>,<Null>,new,<Null>,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
{37A8C57B-D0B0-472B-8163-5074E55E5143},1,SS,4,1,<Null>,1,<Null>,<Null>,{197A519B-7AF1-4374-BDD8-81FA03CCC54F},1,<Null>,<Null>,<Null>,<Null>,<Null>,29,<Null>,<Null>,<Null>,<Null>,<Null>,Point,9,<Null>,<Null>,<Null>,0,0,<Null>,<Null>,<Null>,new,<Null>,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
{F77D02DF-3773-4BE2-AB2E-315D8484E257},1,SS,4,1,<Null>,1,<Null>,<Null>,{197A519B-7AF1-4374-BDD8-81FA03CCC54F},1,<Null>,<Null>,<Null>,<Null>,<Null>,30,<Null>,<Null>,<Null>,<Null>,<Null>,Point,12,<Null>,<Null>,<Null>,0,0,<Null>,<Null>,<Null>,new,<Null>,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
{6199C982-537A-4007-B561-0BD3A9420B88},1,SS,4,1,<Null>,1,<Null>,<Null>,{197A519B-7AF1-4374-BDD8-81FA03CCC54F},1,<Null>,<Null>,<Null>,<Null>,<Null>,31,<Null>,<Null>,<Null>,<Null>,<Null>,Point,9,<Null>,<Null>,<Null>,0,0,<Null>,<Null>,<Null>,new,<Null>,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
{6795837A-33AF-415A-AA14-63C7F904CED3},1,SS,4,1,<Null>,1,<Null>,<Null>,{197A519B-7AF1-4374-BDD8-81FA03CCC54F},1,<Null>,<Null>,<Null>,<Null>,<Null>,23,<Null>,<Null>,<Null>,<Null>,<Null>,Point,18,<Null>,<Null>,<Null>,0,0,<Null>,<Null>,<Null>,new,<Null>,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
