Province,Estrato Florestal,id_parcela,Ycoordinate,Xcoordinate, Vt (m3_ha) , Vc (m3_ha) , AGB (ton_ha) , BGB (ton_ha) ,year,size
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0772003,-10.606565,40.536637,39.9,2.53,32.61,21.73,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0772002,-10.606569,40.535723,24.65,0.77,21.44,13.32,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0770543,-10.606665,40.527437,4.09,0,4.41,2.96,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0770542,-10.606669,40.526523,20.06,2.38,17.77,10.56,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0772004,-10.607469,40.536641,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0772001,-10.607473,40.535727,64.15,0.97,77.74,27.38,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0770544,-10.607569,40.527441,22.98,1.13,21.74,11.86,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0770541,-10.607573,40.526527,25.54,3.19,22.75,14.44,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0706973,-10.634752,40.317362,39.55,10.4,38.07,17.56,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0706972,-10.634756,40.316448,107.02,22.85,96.77,34.12,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0706974,-10.635656,40.317366,64.33,19.29,53.74,21.46,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0706971,-10.63566,40.316452,125.71,28.78,117.16,40.85,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0713393,-10.643665,40.335738,52.91,6.7,58.95,15.94,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0713392,-10.643669,40.334823,37.85,5.83,48.39,12.01,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0713394,-10.64457,40.335741,49.59,3.99,49.32,14.49,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0713391,-10.644573,40.334827,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0716593,-10.661765,40.344938,52.65,19.01,73.09,20.46,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0716592,-10.661769,40.344023,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0716594,-10.66267,40.344942,50.42,12.08,61.95,19.19,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0716591,-10.662673,40.344027,28.34,4.52,36.46,10.21,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0662703,-10.74377,40.189819,51.77,9.96,58.63,16.04,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0662702,-10.743774,40.188904,79.86,20.34,82.34,23.15,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0662704,-10.744674,40.189822,33.91,4.89,32.26,9.03,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0662701,-10.744678,40.188908,107.31,17.81,131.74,34.43,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0626423,-10.852681,40.080475,95.43,15.83,96.93,27.06,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0626422,-10.852684,40.07956,59.63,7.19,55.15,15.44,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0626424,-10.853585,40.080478,62.15,14.61,67.25,18.63,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0626421,-10.853588,40.079563,76.76,15.6,80.21,22.4,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0623393,-10.861766,40.071339,4.39,0,4.56,1.28,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0623392,-10.861769,40.070424,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0623394,-10.86267,40.071342,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0623391,-10.862673,40.070427,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0707483,-10.88792,40.318462,39.76,9.71,34.46,16.42,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0707482,-10.887924,40.317547,59.19,14.1,51.16,21.91,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0647633,-10.888666,40.144639,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0647632,-10.888669,40.143724,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0707484,-10.888824,40.318466,58.13,19.24,48.56,21.77,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0707481,-10.888828,40.317551,73.55,8.01,62.75,29.75,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0647634,-10.88957,40.144642,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0647631,-10.889573,40.143727,47.86,11.5,53.01,16.74,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0608493,-10.898066,40.025739,61.81,23.37,44.09,17.58,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0608492,-10.898069,40.024824,42.84,9.16,64.24,17.83,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0608494,-10.89897,40.025742,58.7,6.03,54.74,15.23,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0608491,-10.898973,40.024827,32.61,2,27.48,7.69,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0726553,-10.905763,40.373435,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0726552,-10.905767,40.37252,12.88,0.32,15.79,4.42,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0688403,-10.906235,40.263652,46.96,11.59,40.09,17.66,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0688402,-10.906239,40.262737,41.02,4.31,34.76,15.53,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0726554,-10.906667,40.373439,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0726551,-10.906671,40.372524,3.32,0,4.43,1.24,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0688404,-10.907139,40.263656,71.35,12.11,60.67,24.7,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0688401,-10.907143,40.262741,106.18,22.38,89.64,41,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0710833,-10.942065,40.327938,103.85,1.29,126.26,35.22,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0710832,-10.942069,40.327023,68.91,5.52,75.92,21.15,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0710834,-10.94297,40.327942,74.89,6.25,83.23,22.85,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0710831,-10.942973,40.327027,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0611583,-10.943266,40.035039,62.45,18.4,58.54,16.24,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0611582,-10.943269,40.034124,62.06,15.79,63.17,17.1,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0611584,-10.94417,40.035042,55.96,7.02,63.14,17.6,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0611581,-10.944173,40.034127,67.3,5.14,65.53,18.35,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691733,-10.978465,40.273139,75.68,30.77,71.75,25.55,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691732,-10.978469,40.272224,58.05,24.24,53.77,22.37,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691734,-10.97937,40.273143,38.8,11.65,35.53,13.13,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691731,-10.979373,40.272227,51.85,22.42,56.26,20.26,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0714073,-10.987265,40.337238,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0714072,-10.987269,40.336323,5.16,2.08,5.99,1.68,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0714074,-10.988169,40.337243,17.88,3.68,20.78,5.63,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0714071,-10.988173,40.336327,63.56,8.33,73.99,20.07,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0739583,-11.004965,40.410538,33.53,2.33,41.64,10.59,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0739582,-11.004969,40.409623,2.62,0,3.34,0.94,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0739584,-11.005869,40.410543,26.81,6.84,32.34,10.73,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0739581,-11.005873,40.409627,16.07,0.34,17.97,5.17,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0651043,-11.069427,40.154496,68.86,12.32,60.15,23.83,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0651042,-11.069431,40.15358,34.21,9.53,30.49,13.6,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0651044,-11.070332,40.154499,72.61,10.94,62.45,25.84,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0651041,-11.070335,40.153584,77.94,20.46,69.53,25.18,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0742893,-11.077365,40.420038,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0742892,-11.077369,40.419123,27.76,0.97,31.46,8.81,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0742894,-11.078269,40.420043,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0742891,-11.078273,40.419127,32.4,1.02,37.94,10.24,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0458833,-11.089167,39.577741,75.37,12.65,61.06,25.82,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0458832,-11.089169,39.576826,53.51,3.11,43.97,21.21,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0458834,-11.090072,39.577743,78.8,14.17,63.48,28.5,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0458831,-11.090073,39.576827,51.16,16,42.82,19.72,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0720663,-11.104756,40.356044,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0720662,-11.10476,40.355129,14.93,6.51,22.3,5.44,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0720664,-11.10566,40.356048,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0720661,-11.105664,40.355133,20.5,1.1,25.68,6.45,2016,0.1
