sd,agb
209.9456771,28.7239
212.7664003,78.7022
209.820188,15.9888
210.0146417,29.8165
210.4548349,44.0744
210.2370074,32.5589
213.4653634,96.369
210.3486665,37.0942
210.3829877,37.4744
210.3133203,34.7889
213.0954893,81.9567
213.4417618,93.7889
212.2871829,70.437
210.389354,40.3847
213.4653634,95.4543
214.0054766,135.673
213.9075973,104.008
213.7366279,101.024
213.6061887,92.504
213.6307179,95.2265
213.6061887,92.475
213.4515756,98.9924
213.7921469,110.564
210.5096364,53.7543
213.3127924,90.9637
213.4218575,95.5952
213.8988919,137.739
219.1543932,171.576
213.0131775,82.4573
214.9801476,156.534
210.520555,34.6441
210.64339,43.3794
210.3080699,27.3192
219.473188,195.606
213.8854916,122.829
213.2999312,90.2424
213.2923056,90.2627
212.3018118,70.7016
212.2188682,70.0742
219.4202558,176.243
214.0691749,131.928
219.2413369,164.074
213.5542735,102.693
212.7261357,74.0566
213.9236747,110.516
213.4354794,97.7817
212.6575858,78.4947
210.4893229,50.3638
210.4893229,51.2082
213.2999312,89.8241
209.915292,30.001
210.3829877,37.4306
209.871739,24.4354
209.860339,20.5956
213.9057147,129.401
210.5614361,60.1084
212.6575858,77.1679
210.2908323,36.7414
209.9284901,30.8452
209.8967666,28.4204
210.316684,36.7675
209.7895472,18.1375
209.9588733,29.5747
213.531725,104.876
210.5547278,58.2991
212.8292875,80.8316
219.3290876,181.638
213.8698169,113.788
219.3330506,186.414
210.582221,51.6672
210.5673101,49.3553
211.2907908,63.6767
210.4283317,38.8445
213.7384916,105.12
213.9393454,119.606
213.5037795,93.2674
210.2040538,29.5229
212.7261357,74.5458
213.1339721,80.9569
213.6383235,103.187
213.9291789,112.822
213.9291789,113.437
213.9543631,132.482
213.3987116,89.972
213.9236747,111.573
213.8681322,124.25
213.785559,143.843
212.6575858,76.4658
213.5141435,104.751
213.4939677,103.95
210.781989,64.8134
213.9057147,130.339
209.6107369,3.553555
209.6111942,3.634322
209.6104936,2.757561
210.6715475,54.5014
211.4742044,63.022
213.1797684,80.8289
213.4354794,95.9021
212.2065718,71.3841
210.5672457,61.4641
211.3552387,57.5446
210.8095161,44.6027
213.2972996,73.0322
213.6793725,96.621
213.9707112,137.205
214.090763,123.349
210.3583838,39.2481
210.3727757,39.6382
210.4769227,52.4224
210.5788855,51.1466
213.19277,82.8299
212.6690809,72.1121
215.483543,158.366
219.3695218,185.293
213.9527424,136.578
219.3945922,180.951
214.4583291,150.508
219.2144939,173.238
219.3945922,182.472
219.2116872,165.615
213.9965766,125.799
213.9772934,103.814
213.9796677,149.362
219.2910555,167.842
214.0705573,116.695
214.4213957,150.96
215.483543,158.429
219.4246574,188.114
213.8651722,142.497
213.9891653,129.22
212.408714,70.1946
213.3602617,85.4665
213.1339721,81.6467
210.6149083,48.8051
210.622958,49.6775
210.6298158,50.5732
210.1452144,27.2574
210.6061788,46.7813
213.9661972,111.91
213.6002145,101.089
212.7732509,74.8193
213.9771104,114.394
210.5673101,50.3721
210.4219666,36.1174
210.3014162,31.5331
210.4837489,52.6258
210.3092047,36.4079
210.5423481,59.6563
213.9127433,139.779
213.9891653,129.026
219.888944,216.284
210.6149083,48.8065
213.9590101,120.491
212.8520404,75.886
213.9219904,121.52
213.568091,102.116
213.9236747,110.831
210.1604862,27.3834
210.9111653,61.0052
210.6338783,52.6067
213.9771104,113.956
210.678252,56.3098
210.5414152,40.529
210.6031816,45.2697
210.6715475,55.325
210.3063923,29.4877
209.8586527,19.8292
210.5283581,52.1719
212.5134539,72.1631
212.3730162,68.0955
213.9590101,120.389
209.9612767,23.5686
214.0254462,131.592
213.5507232,91.9936
213.9771104,115.179
209.9599501,22.7213
210.6896935,57.926
211.5312956,63.6954
212.7747947,71.9472
213.527131,90.9304
212.7732509,74.1959
214.0254462,131.384
213.8807946,144.791
218.8705563,162.905
213.953863,145.867
214.128627,146.671
213.9884381,135.042
213.272161,82.2584
210.4642762,36.1892
210.2517342,28.1956
213.9653721,137.605
213.976362,118.674
212.7162088,71.0328
214.4213957,150.686
213.5037795,94.1128
213.5728239,103.064
213.2289656,85.4172
213.3974259,95.9554
212.6982395,77.4754
212.7261357,75.1009
210.6239621,56.1747
213.5542735,102.535
214.3378057,151.534
213.7622092,107.236
213.858078,124.359
213.5668107,94.6684
213.9936334,121.032
213.5752587,96.3258
217.8642613,160.802
213.9174995,139.175
219.215985,168.434
212.9448593,76.6917
212.7162088,71.4147
213.5668107,95.6838
217.6738248,160.491
213.9590101,119.858
214.0217216,129.764
213.8608792,139.729
219.5853597,193.485
219.7597937,206.281
214.0217216,129.658
212.7732509,74.1389
219.5346904,191.831
213.1809972,79.5069
219.188381,171.881
212.7732509,74.6377
213.5850047,99.684
213.5507232,92.9573
213.1286496,78.2979
214.0081996,130.117
213.5479202,101.632
213.5710078,98.4675
213.9247157,137.813
213.9400939,114.004
213.9566197,122.683
213.876472,140.116
213.9959886,124.513
219.5591358,188.358
210.7491468,59.5194
209.6216665,2.84138
210.3236774,29.7903
219.3945922,179.822
217.8777644,161.072
213.9771104,113.905
213.4648985,98.363
213.9048892,133.873
220.3825958,234.934
219.2272042,169.286
217.7821993,162.051
219.2272042,170.094
213.1693138,80.8986
213.7568973,103.568
213.2397821,81.5279
211.2047701,61.8349
212.4222522,68.6976
210.6338783,52.2985
210.5414932,66.6493
213.5815855,103.835
213.8413992,138.141
213.314577,89.866
213.9788717,122.364
213.9897567,135.281
213.9653721,137.668
211.7765266,67.6613
213.8342827,110.256
213.9046789,132.895
213.7815752,143.035
213.4641989,101.451
219.453253,191.809
220.0660335,224.06
213.7972037,144.313
217.8029983,161.913
215.5165254,160.876
213.613034,105.188
213.895905,149.745
213.8565262,116.563
218.8889151,164.817
213.7968816,140.557
213.845864,112.23
213.7434447,106.133
219.3133537,183.33
217.7957075,162.669
219.6010476,201.027
219.8326584,215.32
213.8760033,127.055
213.8401005,111.42
213.7624197,107.463
213.8757929,128.302
213.6546344,105.29
213.8555669,119.148
213.806047,121.312
213.849378,137.845
214.0079179,148.631
210.3490745,30.387
209.9454789,14.9236
210.6149083,49.3187
214.9503754,154.089
213.8555669,119.749
213.1010921,83.6129
219.3089343,179.386
220.1683361,223.386
213.274717,88.5424
219.3091395,179.864
215.1812815,157.35
219.1456526,171.918
213.8765644,127.8
210.5426569,59.6623
213.3845748,92.044
213.0418835,81.7011
219.31365,180.641
219.31365,183.938
219.3687997,185.503
209.7920206,18.1512
213.2626272,85.4044
210.4840577,52.2616
212.9758233,78.7983
210.3842789,40.7482
212.6201691,74.3865
216.3527459,161.563
210.4485213,45.5868
209.8905869,27.2467
213.7431874,105.769
211.6924242,65.9124
213.8582884,124.329
213.872474,124.347
209.6573658,8.72554
209.7903337,17.2425
209.7903337,17.2239
219.3096867,176.811
213.9054502,133.465
214.3385755,150.976
209.871739,23.6792
209.860339,20.9951
209.8939786,26.504
209.8731298,25.6804
210.3113963,34.5616
209.871739,24.361
219.1066096,173.065
219.1005207,166.105
220.3840458,249.018
213.560965,99.6109
220.4507896,257.199
219.4824068,191.483
209.8016043,20.1609
209.7013109,12.6596
209.6544681,7.75218
213.9283536,139.229
213.947481,145.445
213.9048892,133.665
219.3131029,184.784
214.0081282,147.627
213.8267995,106.704
213.9884381,132.402
213.5198706,96.41
210.2818583,34.0398
212.4555129,70.6594
210.3043977,37.7525
213.8582884,124.777
213.7972037,144.502
219.1456526,171.731
210.4268272,40.9694
213.5082276,101.301
212.9270457,79.5485
209.871739,22.6396
210.5521516,54.4652
209.8939786,26.5114
213.2969568,86.1504
212.4098265,71.8549
213.9028669,138.789
213.9051464,132.85
213.6551024,104.688
213.7818325,141.422
214.0083852,147.342
213.8733156,122.412
213.7434447,105.609
213.8854916,121.245
209.915292,29.9755
213.0131775,81.8908
209.8413433,24.5039
210.32,37.0035
209.915292,30.1549
215.5370333,162.732
213.826926,147.216
213.8854916,123.024
219.1529017,179.061
210.759163,64.545
210.5170377,56.6824
218.8088673,166.664
210.441006,46.2474
209.8282551,20.0583
210.5170377,56.4167
210.1346812,32.2766
210.32,36.9633
210.512973,54.6782
213.3521766,93.1517
209.8060014,18.4034
212.379794,73.2259
