"agb_Mgha_bins","n_pre","n_post","agb_Mgha_pre","agb_Mgha_post"
"(0,20]",24,18,7.5975,10.5938888888889
"(20,40]",12,18,29.4475,29.3538888888889
"(40,60]",6,5,48.32,51.904
"(60,80]",8,6,69.4825,70.4633333333333
"(80,100]",10,5,89.801,90.922
"(100,120]",2,8,103.43,110.59875
"(120,140]",4,5,130.0025,130.064
"(140,160]",3,4,148.15,148.61
"(160,180]",2,2,174.065,174.065
"(180,200]",3,3,189.186666666667,187.553333333333
"(200,300]",8,8,259.95875,257.57125
"(300,400]",8,8,352.795,353.3325
"(400,500]",2,2,448,451.25
"(500,Inf]",8,8,690.89375,690.76625
