"agb_Mgha_bins","n_pre","n_post","agb_Mgha_pre","agb_Mgha_post"
"(0,20]",3070,3351,9.37866816905538,8.60632330796515
"(20,40]",2613,2617,29.7843056639878,29.7557795846195
"(40,60]",2419,2392,49.9689681273253,49.9792671963185
"(60,80]",2089,2067,69.746342795596,69.6683438713734
"(80,100]",1686,1668,89.4245131079478,89.5127047036004
"(100,120]",1372,1327,109.440756559767,109.504275412703
"(120,140]",1001,969,129.07556043956,129.1322791064
"(140,160]",751,715,150.030930758988,149.935454852358
"(160,180]",513,490,169.528502923977,169.517465047034
"(180,200]",398,372,189.49093718593,189.436542511971
"(200,300]",702,654,235.795086894587,235.147618964426
"(300,400]",84,76,327.785357142857,327.671124383224
"(400,500]",6,6,427.5795,427.5795
"(500,Inf]",1,1,551.525,551.525
